Age,Entered,Died,Censored,Births,N.q.x,qx,px,lx,mx,Lx,ex,prop.reproduction,Population
0,232,30,9,0,227,0.132,0.868,1.00,0.00,0.93,10.68,0,Gelada - Simiens
1,212,16,15,0,204,0.078,0.922,0.87,0.00,0.83,11.23,0,Gelada - Simiens
2,191,15,8,0,187,0.080,0.920,0.80,0.00,0.77,11.14,0,Gelada - Simiens
3,184,11,20,0,174,0.063,0.937,0.74,0.00,0.71,11.07,0,Gelada - Simiens
4,160,4,5,2,157,0.026,0.975,0.69,0.01,0.68,10.78,0.0024,Gelada - Simiens
5,156,6,11,31,150,0.040,0.960,0.67,0.21,0.66,10.05,0.0408,Gelada - Simiens
6,146,8,11,53,140,0.057,0.943,0.64,0.38,0.63,9.45,0.1112,Gelada - Simiens
7,150,6,14,32,143,0.042,0.958,0.61,0.22,0.60,8.99,0.1528,Gelada - Simiens
8,138,12,13,40,131,0.092,0.908,0.58,0.31,0.56,8.37,0.2095,Gelada - Simiens
9,118,0,5,45,115,0.000,1.000,0.53,0.39,0.53,8.16,0.2823,Gelada - Simiens
10,121,4,12,41,115,0.035,0.965,0.53,0.36,0.52,7.16,0.3486,Gelada - Simiens
11,109,13,8,39,105,0.124,0.876,0.51,0.37,0.48,6.40,0.4176,Gelada - Simiens
12,90,6,1,23,89,0.067,0.933,0.45,0.26,0.43,6.23,0.4656,Gelada - Simiens
13,92,3,7,32,88,0.034,0.966,0.42,0.36,0.41,5.65,0.5333,Gelada - Simiens
14,83,9,14,30,76,0.118,0.882,0.40,0.39,0.38,4.83,0.6066,Gelada - Simiens
15,61,7,7,23,57,0.123,0.877,0.36,0.40,0.33,4.41,0.6816,Gelada - Simiens
16,49,6,2,16,48,0.125,0.875,0.31,0.33,0.29,3.96,0.7436,Gelada - Simiens
17,43,5,5,12,40,0.125,0.875,0.27,0.30,0.26,3.45,0.7994,Gelada - Simiens
18,35,4,3,12,33,0.121,0.879,0.24,0.36,0.22,2.87,0.867,Gelada - Simiens
19,30,13,0,7,30,0.433,0.567,0.21,0.23,0.16,2.20,0.9104,Gelada - Simiens
20,18,4,1,5,17,0.235,0.765,0.12,0.29,0.10,2.50,0.965,Gelada - Simiens
21,13,3,0,1,13,0.231,0.769,0.09,0.08,0.08,2.12,0.9793,Gelada - Simiens
22,10,1,0,0,10,0.100,0.900,0.07,0.00,0.07,1.60,0.9793,Gelada - Simiens
23,9,5,0,1,9,0.556,0.444,0.06,0.11,0.05,0.72,1,Gelada - Simiens
24,4,2,2,0,3,0.667,0.333,0.03,0.00,0.00,0.00,1,Gelada - Simiens
0,101,34,6,0,98,0.347,0.653,1.00,0.00,0.83,6.95,0,Chacma - Moremi
1,61,10,1,0,60,0.167,0.833,0.65,0.00,0.60,9.38,0,Chacma - Moremi
2,54,4,2,0,53,0.076,0.925,0.54,0.00,0.52,10.15,0,Chacma - Moremi
3,52,3,3,0,50,0.060,0.940,0.50,0.00,0.49,9.94,0,Chacma - Moremi
4,49,2,0,0,49,0.041,0.959,0.47,0.00,0.46,9.54,0,Chacma - Moremi
5,50,1,3,4,48,0.021,0.979,0.45,0.08,0.45,8.93,0.0104,Chacma - Moremi
6,50,3,3,28,48,0.063,0.938,0.44,0.58,0.43,8.11,0.0832,Chacma - Moremi
7,44,3,1,17,43,0.070,0.930,0.42,0.40,0.40,7.61,0.1326,Chacma - Moremi
8,41,2,5,23,38,0.053,0.947,0.39,0.61,0.38,7.15,0.2082,Chacma - Moremi
9,35,4,2,16,34,0.118,0.882,0.37,0.47,0.35,6.52,0.2669,Chacma - Moremi
10,31,5,1,15,30,0.167,0.833,0.32,0.50,0.30,6.32,0.3293,Chacma - Moremi
11,25,0,3,13,23,0.000,1.000,0.27,0.57,0.27,6.48,0.3999,Chacma - Moremi
12,23,3,0,6,23,0.130,0.870,0.27,0.26,0.25,5.48,0.4325,Chacma - Moremi
13,24,3,1,17,23,0.130,0.870,0.23,0.74,0.22,5.23,0.5248,Chacma - Moremi
14,20,1,0,12,20,0.050,0.950,0.20,0.60,0.20,4.94,0.5997,Chacma - Moremi
15,20,1,1,7,19,0.053,0.947,0.19,0.37,0.19,4.18,0.6457,Chacma - Moremi
16,18,3,0,14,18,0.167,0.833,0.18,0.78,0.17,3.38,0.7428,Chacma - Moremi
17,16,6,0,9,16,0.375,0.625,0.15,0.56,0.12,2.96,0.813,Chacma - Moremi
18,11,0,3,3,9,0.000,1.000,0.10,0.33,0.10,3.43,0.8546,Chacma - Moremi
19,8,2,1,5,7,0.286,0.714,0.10,0.71,0.08,2.43,0.9438,Chacma - Moremi
20,5,1,0,1,5,0.200,0.800,0.07,0.20,0.06,2.20,0.9688,Chacma - Moremi
21,4,2,0,1,4,0.500,0.500,0.05,0.25,0.04,1.63,1,Chacma - Moremi
22,2,1,0,0,2,0.500,0.500,0.03,0.00,0.02,1.75,1,Chacma - Moremi
23,1,0,0,0,1,0.000,1.000,0.01,0.00,0.01,2.00,1,Chacma - Moremi
24,1,0,0,0,1,0.000,1.000,0.01,0.00,0.01,1.00,1,Chacma - Moremi
25,1,1,0,0,1,1.000,0.000,0.01,0.00,0.00,0.00,1,Chacma - Moremi
0,592,124,25,0,580,0.226,0.774,1.00,0.00,,9.95,,Yellow - Amboseli
1,439,47,23,0,428,0.131,0.869,0.77,0.00,,11.56,,Yellow - Amboseli
2,366,23,23,0,355,0.076,0.924,0.67,0.00,,12.15,,Yellow - Amboseli
3,319,15,11,0,314,0.051,0.949,0.62,0.00,,12.07,,Yellow - Amboseli
4,296,11,16,3,288,0.038,0.962,0.59,0.01,,11.67,,Yellow - Amboseli
5,271,11,14,112,264,0.049,0.951,0.57,0.42,,11.09,,Yellow - Amboseli
6,245,11,21,124,235,0.051,0.949,0.54,0.53,,10.61,,Yellow - Amboseli
7,213,7,11,113,208,0.034,0.966,0.51,0.54,,10.12,,Yellow - Amboseli
8,198,11,4,109,196,0.061,0.939,0.49,0.56,,9.45,,Yellow - Amboseli
9,184,8,4,102,182,0.044,0.956,0.46,0.56,,8.99,,Yellow - Amboseli
10,172,8,8,90,168,0.048,0.952,0.44,0.54,,8.36,,Yellow - Amboseli
11,156,9,9,84,152,0.066,0.934,0.42,0.55,,7.73,,Yellow - Amboseli
12,138,9,5,79,136,0.074,0.926,0.39,0.58,,7.21,,Yellow - Amboseli
